context_id,candidate_id,prompt,context,question,agreement_passage,context_domain,context_size,query_time,shot_setting,on_topic,grammar,adherence,answerable,useful_1,useful_reason_1,useful_encoded_1,useful_2,useful_reason_2,useful_encoded_2
2,2,understanding,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.",What is the primary function of insulin?,0,biology,long,2023-02-03 16:32:34,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
2,3,applying,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.","How does insulin regulate the metabolism of carbohydrates, fats and proteins?",0,biology,long,2023-02-03 16:32:36,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
2,4,analyzing,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.",What are the effects of insulin in regulating metabolism?,0,biology,long,2023-02-03 16:32:37,five,1,1,0,1,Useful with minor edits,The question's phrasing or grammar is not good enough,3,Useful with major edits,"I would change to: "" What are the effects of insulin in regulating the metabolism of carbohydrates, fats and proteins?""",2
2,5,evaluating,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.","How does insulin regulate the metabolism of carbohydrates, fats and protein?",0,biology,long,2023-02-03 16:32:39,five,1,0,0,1,"Useful with no edits (i.e., as is)",,4,Useful with minor edits,,3
2,6,creating,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.","How does insulin affect the metabolism of carbohydrates, fats, and proteins?",0,biology,long,2023-02-03 16:32:41,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
2,7,beginner,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.",What is the main function of insulin?,0,biology,long,2023-02-03 16:32:41,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
2,8,intermediate,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.",What is the role of insulin in regulating metabolism?,0,biology,long,2023-02-03 16:32:42,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,Useful with major edits,"I would change to: "" What is the role of insulin in regulating the metabolism of carbohydrates, fats and proteins?",2
2,9,advanced,"Insulin is a peptide hormone produced by beta cells of the pancreatic islets encoded in humans by the INS gene. It is considered to be the main anabolic hormone of the body. It regulates the metabolism of carbohydrates, fats and protein by promoting the absorption of glucose from the blood into liver, fat and skeletal muscle cells. In these tissues the absorbed glucose is converted into either glycogen via glycogenesis or fats (triglycerides) via lipogenesis, or, in the case of the liver, into both. Glucose production and secretion by the liver is strongly inhibited by high concentrations of insulin in the blood. Circulating insulin also affects the synthesis of proteins in a wide variety of tissues. It is therefore an anabolic hormone, promoting the conversion of small molecules in the blood into large molecules inside the cells. Low insulin levels in the blood have the opposite effect by promoting widespread catabolism, especially of reserve body fat.","What is insulin's role in regulating carbohydrate, fat, and protein metabolism?",0,biology,long,2023-02-03 16:32:43,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,1,remembering,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What is the chemical reaction involved in bioluminescence?,0,biology,long,2023-02-03 16:32:44,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,2,understanding,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What two components are necessary for the bioluminescence chemical reaction?,0,biology,long,2023-02-03 16:32:46,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,3,applying,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What is the general chemical reaction that occurs in bioluminescence?,0,biology,long,2023-02-03 16:32:46,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,4,analyzing,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What process occurs in bioluminescence to produce light?,0,biology,long,2023-02-03 16:32:47,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,5,evaluating,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What is the chemical reaction involved in bioluminescence?,0,biology,long,2023-02-03 16:32:49,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,6,creating,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",How does bioluminescence work in a chemical reaction?,0,biology,long,2023-02-03 16:32:51,five,1,1,1,1,Useful with minor edits,The question's phrasing or grammar is not good enough,3,Useful with major edits,"The question's phrasing or grammar is not good enough, I would change to: ""How does the chemical reaction in bioluminescence work?""",2
3,7,beginner,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What is the chemical reaction involved in bioluminescence?,0,biology,long,2023-02-03 16:32:52,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
3,8,intermediate,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.",What are the two main components of bioluminescence?,0,biology,long,2023-02-03 16:32:53,five,1,0,0,0,Useful with major edits,The question's phrasing or grammar is not good enough,2,Useful with major edits,"The question has logical issues or doesn't make sense, I would change to: ""What are the two main components of the chemical reaction that occurs in bioluminescence?""",2
3,9,advanced,"Bioluminescence is the production and emission of light by living organisms. It is a form of chemiluminescence. Bioluminescence occurs widely in marine vertebrates and invertebrates, as well as in some fungi, microorganisms including some bioluminescent bacteria, and terrestrial arthropods such as fireflies. In some animals, the light is bacteriogenic, produced by symbiotic bacteria such as those from the genus Vibrio; in others, it is autogenic, produced by the animals themselves. In a general sense, the principal chemical reaction in bioluminescence involves a light-emitting molecule and an enzyme, generally called luciferin and luciferase, respectively. Because these are generic names, luciferins and luciferases are often distinguished by the species or group, e.g. firefly luciferin. In all characterized cases, the enzyme catalyzes the oxidation of the luciferin.","How does the chemical reaction of bioluminescence occur, and what are the components involved?",0,biology,long,2023-02-03 16:32:54,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
4,1,remembering,"Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues. Proteins perform a vast array of functions within organisms, including catalysing metabolic reactions, DNA replication, responding to stimuli, providing structure to cells and organisms, and transporting molecules from one location to another. Proteins differ from one another primarily in their sequence of amino acids, which is dictated by the nucleotide sequence of their genes, and which usually results in protein folding into a specific 3D structure that determines its activity. A linear chain of amino acid residues is called a polypeptide. A protein contains at least one long polypeptide. Short polypeptides, containing less than 20-30 residues, are rarely considered to be proteins and are commonly called peptides. The individual amino acid residues are bonded together by peptide bonds and adjacent amino acid residues. The sequence of amino acid residues in a protein is defined by the sequence of a gene, which is encoded in the genetic code.",What is the main difference between proteins?,0,biology,long,2023-02-03 16:32:56,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
4,2,understanding,"Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues. Proteins perform a vast array of functions within organisms, including catalysing metabolic reactions, DNA replication, responding to stimuli, providing structure to cells and organisms, and transporting molecules from one location to another. Proteins differ from one another primarily in their sequence of amino acids, which is dictated by the nucleotide sequence of their genes, and which usually results in protein folding into a specific 3D structure that determines its activity. A linear chain of amino acid residues is called a polypeptide. A protein contains at least one long polypeptide. Short polypeptides, containing less than 20-30 residues, are rarely considered to be proteins and are commonly called peptides. The individual amino acid residues are bonded together by peptide bonds and adjacent amino acid residues. The sequence of amino acid residues in a protein is defined by the sequence of a gene, which is encoded in the genetic code.",How do proteins differ from one another?,0,biology,long,2023-02-03 16:32:57,five,1,1,1,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
4,3,applying,"Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues. Proteins perform a vast array of functions within organisms, including catalysing metabolic reactions, DNA replication, responding to stimuli, providing structure to cells and organisms, and transporting molecules from one location to another. Proteins differ from one another primarily in their sequence of amino acids, which is dictated by the nucleotide sequence of their genes, and which usually results in protein folding into a specific 3D structure that determines its activity. A linear chain of amino acid residues is called a polypeptide. A protein contains at least one long polypeptide. Short polypeptides, containing less than 20-30 residues, are rarely considered to be proteins and are commonly called peptides. The individual amino acid residues are bonded together by peptide bonds and adjacent amino acid residues. The sequence of amino acid residues in a protein is defined by the sequence of a gene, which is encoded in the genetic code.",What determines the 3D structure of proteins?,0,biology,long,2023-02-03 16:32:58,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
4,4,analyzing,"Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues. Proteins perform a vast array of functions within organisms, including catalysing metabolic reactions, DNA replication, responding to stimuli, providing structure to cells and organisms, and transporting molecules from one location to another. Proteins differ from one another primarily in their sequence of amino acids, which is dictated by the nucleotide sequence of their genes, and which usually results in protein folding into a specific 3D structure that determines its activity. A linear chain of amino acid residues is called a polypeptide. A protein contains at least one long polypeptide. Short polypeptides, containing less than 20-30 residues, are rarely considered to be proteins and are commonly called peptides. The individual amino acid residues are bonded together by peptide bonds and adjacent amino acid residues. The sequence of amino acid residues in a protein is defined by the sequence of a gene, which is encoded in the genetic code.",What are the primary differences between proteins and peptides?,0,biology,long,2023-02-03 16:32:59,five,1,1,1,1,Useful with minor edits,,3,Useful with major edits,"The question's phrasing or grammar is not good enough, I would change it to ""What is the primary difference between proteins and peptides?""",2
4,5,evaluating,"Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues. Proteins perform a vast array of functions within organisms, including catalysing metabolic reactions, DNA replication, responding to stimuli, providing structure to cells and organisms, and transporting molecules from one location to another. Proteins differ from one another primarily in their sequence of amino acids, which is dictated by the nucleotide sequence of their genes, and which usually results in protein folding into a specific 3D structure that determines its activity. A linear chain of amino acid residues is called a polypeptide. A protein contains at least one long polypeptide. Short polypeptides, containing less than 20-30 residues, are rarely considered to be proteins and are commonly called peptides. The individual amino acid residues are bonded together by peptide bonds and adjacent amino acid residues. The sequence of amino acid residues in a protein is defined by the sequence of a gene, which is encoded in the genetic code.",What is the primary difference between proteins?,0,biology,long,2023-02-03 16:33:00,five,1,1,0,1,"Useful with no edits (i.e., as is)",,4,"Useful with no edits (i.e., as is)",,4
